city_id,timestamp,temp_celsius,precip_mm,wind_kmh,wmo_code,is_daylight
GLW,2026-04-11T07:00:00Z,14.6,0.0,7.7,1,True
GLW,2026-04-11T08:00:00Z,16.2,0.0,14.4,0,True
GLW,2026-04-11T09:00:00Z,13.3,0.0,31.2,1,True
GLW,2026-04-11T10:00:00Z,18.5,0.0,7.1,1,True
GLW,2026-04-11T11:00:00Z,13.0,0.0,23.8,1,True
GLW,2026-04-11T12:00:00Z,13.2,2.8,18.3,53,True
GLW,2026-04-11T13:00:00Z,12.7,3.3,15.5,63,True
GLW,2026-04-11T14:00:00Z,16.8,0.0,12.4,1,True
GLW,2026-04-11T15:00:00Z,13.4,0.0,23.2,1,True
GLW,2026-04-11T16:00:00Z,15.1,0.0,30.4,0,True
GLW,2026-04-11T17:00:00Z,16.8,0.0,10.7,2,True
GLW,2026-04-11T18:00:00Z,14.6,3.6,28.8,61,True
GLW,2026-04-11T19:00:00Z,13.8,2.8,20.8,53,True
GLW,2026-04-11T20:00:00Z,17.5,0.0,33.0,2,True
GLW,2026-04-11T21:00:00Z,10.0,3.5,33.6,53,True
GLW,2026-04-11T22:00:00Z,18.3,0.0,22.6,0,False
GLW,2026-04-11T23:00:00Z,12.7,3.6,20.2,80,False
GLW,2026-04-12T00:00:00Z,16.2,0.0,17.7,3,False
GLW,2026-04-12T01:00:00Z,15.7,0.0,20.3,1,False
GLW,2026-04-12T02:00:00Z,13.7,2.5,16.7,65,False
GLW,2026-04-12T03:00:00Z,15.2,0.0,33.6,0,False
GLW,2026-04-12T04:00:00Z,14.0,0.6,18.0,80,False
GLW,2026-04-12T05:00:00Z,14.8,0.0,27.2,0,False
GLW,2026-04-12T06:00:00Z,15.1,3.2,9.9,65,False
GLW,2026-04-12T07:00:00Z,16.5,0.0,28.4,2,True
GLW,2026-04-12T08:00:00Z,12.9,3.5,5.9,63,True
GLW,2026-04-12T09:00:00Z,14.5,0.0,34.3,2,True
GLW,2026-04-12T10:00:00Z,15.8,0.0,18.7,3,True
GLW,2026-04-12T11:00:00Z,16.8,0.0,9.7,3,True
GLW,2026-04-12T12:00:00Z,15.1,0.0,11.9,0,True
